11 בספטמבר , אקריליק על קנבס , 100 ס"מ , 70 ס"מ 
סופרת כבשים , אקריליק על קנבס , 100 ס"מ , 75 ס"מ
סירות , , 80 ס"מ , 80 ס"מ
סרט צילום , , 100 ס"מ , 80 ס"מ
עבודה עברית , , 80 ס"מ , 180 ס"מ
עבר , , 50 ס"מ , 40 ס"מ
עכו , אקריליק על קנבס , 60 ס"מ , 120 ס"מ
ערב בגליל , אקריליק על קנבס , 60 ס"מ , 120 ס"מ
פורטרט רשת , ג'יקלה , 100 ס"מ , 70 ס"מ
פיל-בוקס , אקריליק על קנבס , 50 ס"מ , 60 ס"מ
פלורנטין , , 60 ס"מ , 120 ס"מ
פרשת דרכים , , 150 ס"מ , 100 ס"מ
קולאז רישומי 1 , , 120 ס"מ , 80 ס"מ
קולאז' רישומי 2 , , 110 ס"מ , 90 ס"מ
קולאז' תל אביב בשחור לבן , אקריליק על קנבס , 100 ס"מ , 70 ס"מ
קתי , , 120 ס"מ , 100 ס"מ
רגע אינטימי , , 100 ס"מ , 50 ס"מ
שדות העמק , אקריליק על קנבס , 110 ס"מ , 160 ס"מ
שולחן לשניים , אקריליק על קנבס , 60 ס"מ , 80 ס"מ
שחור , , 120 ס"מ , 120 ס"מ
שחור וצהוב , , 120 ס"מ , 90 ס"מ
שיח נשים , , 100 ס"מ , 90 ס"מ
שלושה מצבים , טריפטיכון , 60 ס"מ , 90 ס"מ
תאים , , 100 ס"מ , 80 ס"מ
תמונה בלי שם 1 , , ,
תמונה בלי שם 2 , , ,
רישום 20 , רישום , , 
תמונה בלי שם 3 , , ,
תמונה בלי שם 4 , , ,
רישום 12 , רישום , , 
רישום 13 , רישום , , 
רישום 14 , רישום , , 
רישום 15 , רישום , ,
תמונה בלי שם 5 , , ,
תמונה בלי שם 6 , , ,
תמונה בלי שם 7 , , ,
תמונה בלי שם 8 , , ,
רישום - בן , רישום , ,
רישום 16 , רישום , , 
רישום 17 , רישום , ,
תמונה בלי שם 9 , , ,
תמונה בלי שם 10 , , ,
רישום 18 , רישום , ,
רישום 19 , רישום , , 
רישום 20 , רישום , , 
תמונות שבאלבום , , 100 ס"מ , 75 ס"מ

